ensimmaisetnovellit/ensimmaisetnovellit_0000.wav|I. Siihen aikaan, kun isä lampun osti, sanoi hän äidille näinikään: --Äiti hoi, kuulehan,--|I. Siihen aikaan, kun isä lampun osti, sanoi hän äidille näinikään: --Äiti hoi, kuulehan,--|7.43
ensimmaisetnovellit/ensimmaisetnovellit_0226.wav|mutta maantielle päästyään juoksivat he sen, minkä jalat kannattivat, lähimmäisen tienkäänteen suojaan.|mutta maantielle päästyään juoksivat he sen, minkä jalat kannattivat, lähimmäisen tienkäänteen suojaan.|8.75
ensimmaisetnovellit/ensimmaisetnovellit_0227.wav|Tämä tämmöinen varovaisuus oli välttämätön Sipolan rengeille ja kasakoille, sillä Aapo oli kovin vihainen,|Tämä tämmöinen varovaisuus oli välttämätön Sipolan rengeille ja kasakoille, sillä Aapo oli kovin vihainen,|7.49
ensimmaisetnovellit/ensimmaisetnovellit_0228.wav|ja sen hän heti kohta pani työstään pois, jonka tiesi yöjalassa kulkeneen. Lopulta ei tupaan jäänyt muita kuin Aapo ja Tuomas,|ja sen hän heti kohta pani työstään pois, jonka tiesi yöjalassa kulkeneen. Lopulta ei tupaan jäänyt muita kuin Aapo ja Tuomas,|9.96
ensimmaisetnovellit/ensimmaisetnovellit_0229.wav|joka tämäkin, kopistettuaan »kahvit» piipustaan, alkoi haukotellen hakea nuttuaan naulasta.|joka tämäkin, kopistettuaan kahvit piipustaan, alkoi haukotellen hakea nuttuaan naulasta.|8.28
ensimmaisetnovellit/ensimmaisetnovellit_0230.wav|Mutta Aapo liikautti itseään lasin kohdalle ja kysäisi: --Joko sitä aiotte levolle mennä? --Jopahan se lie makuunkin aika--|Mutta Aapo liikautti itseään lasin kohdalle ja kysäisi: --Joko sitä aiotte levolle mennä? --Jopahan se lie makuunkin aika--|9.15
ensimmaisetnovellit/ensimmaisetnovellit_0231.wav|vanhaa enemmän nukuttaa kuin nuoria, ja jopa näkyvät pojatkin täältä urjenneen.--No, enhän saa nutustani selvää,|vanhaa enemmän nukuttaa kuin nuoria, ja jopa näkyvät pojatkin täältä urjenneen.--No, enhän saa nutustani selvää,|8.0
ensimmaisetnovellit/ensimmaisetnovellit_0232.wav|mihinkähän sen paninkaan. --Olisi minulla vielä hiukan puhelemista kanssanne.--|mihinkähän sen paninkaan. --Olisi minulla vielä hiukan puhelemista kanssanne.--|9.74
ensimmaisetnovellit/ensimmaisetnovellit_0233.wav|Muistattehan sitä äskeistä puhettamme pellolla? --Muistan kaiketi. Kas, tuossahan on nuttu.--Ettäkö todenteolla aikoisit niinkuin naimapuuhiin ruveta.--|Muistattehan sitä äskeistä puhettamme pellolla? --Muistan kaiketi. Kas, tuossahan on nuttu.--Ettäkö todenteolla aikoisit niinkuin naimapuuhiin ruveta.--|8.25
ensimmaisetnovellit/ensimmaisetnovellit_0234.wav|No, tarvitseehan kunnon talo emännänkin. --Sepä se on, sepä se on--äitikin alkaa jo käydä vanhanpuoliseksi,|No, tarvitseehan kunnon talo emännänkin. --Sepä se on, sepä se on--äitikin alkaa jo käydä vanhanpuoliseksi,|9.16
ensimmaisetnovellit/ensimmaisetnovellit_0235.wav|ja pitäisihän minunkin aikanani naida. --Niinpä niin--nuorra naida pitää,|ja pitäisihän minunkin aikanani naida. --Niinpä niin--nuorra naida pitää,|6.44
ensimmaisetnovellit/ensimmaisetnovellit_0236.wav|vaatii se siihen vielä vanhanakin, niinkuin sananlasku sanoo--emäntäähän tässä tarvittaisiin, joka talon kunnossa pitäisi.|vaatii se siihen vielä vanhanakin, niinkuin sananlasku sanoo--emäntäähän tässä tarvittaisiin, joka talon kunnossa pitäisi.|8.51
ensimmaisetnovellit/ensimmaisetnovellit_0237.wav|Vaan mahtaisiko tuosta meidän Annusta olla? --Annun laista minä aina olen ajatellut ja miettinyt,|Vaan mahtaisiko tuosta meidän Annusta olla? --Annun laista minä aina olen ajatellut ja miettinyt,|7.17
ensimmaisetnovellit/ensimmaisetnovellit_0238.wav|joka ei tyhjää koreile eikä kopeile--ettehän pane vastaan, jos hän itse suostuu? --Josko itse suostuu--sitä väliä minä en tiedä,|joka ei tyhjää koreile eikä kopeile--ettehän pane vastaan, jos hän itse suostuu? --Josko itse suostuu--sitä väliä minä en tiedä,|9.84
ensimmaisetnovellit/ensimmaisetnovellit_0239.wav|niinkuin jo päivällä pellolla sanoin, nimittäin sitä tytön omaa mieltä tässä asiassa--mutta mikäpähän pitäisi!|niinkuin jo päivällä pellolla sanoin, nimittäin sitä tytön omaa mieltä tässä asiassa--mutta mikäpähän pitäisi!|8.69
ensimmaisetnovellit/ensimmaisetnovellit_0240.wav|Olethan poikamies ja kelpo mies, niinkuin isäsikin ennen.|Olethan poikamies ja kelpo mies, niinkuin isäsikin ennen.|5.01
ensimmaisetnovellit/ensimmaisetnovellit_0241.wav|Luulisipa tytön katsovan etuaan, kun pääsee taloon, mutta käskemään en mene enkä taas kieltämäänkään,|Luulisipa tytön katsovan etuaan, kun pääsee taloon, mutta käskemään en mene enkä taas kieltämäänkään,|7.38
ensimmaisetnovellit/ensimmaisetnovellit_0242.wav|sillä en tuota ole ennenkään tehnyt, ja ovathan nuo tyttäreni muutkin miehelle päässeet, yhtä hyvin kuin rikkaampienkin lapset.--|sillä en tuota ole ennenkään tehnyt, ja ovathan nuo tyttäreni muutkin miehelle päässeet, yhtä hyvin kuin rikkaampienkin lapset.--|9.72
ensimmaisetnovellit/ensimmaisetnovellit_0243.wav|Parasta on, että itse käyt puheillaan. Näin tarinoi tyytyväisenä Tuomas ukko, pisti piippunsa taskuun ja|Parasta on, että itse käyt puheillaan. Näin tarinoi tyytyväisenä Tuomas ukko, pisti piippunsa taskuun ja|8.67
ensimmaisetnovellit/ensimmaisetnovellit_0244.wav|astua kyhnysteli verkalleen pirtistä porstuaan. Portaita myöten kohosi hän sitten porstuan yläsillalle,|astua kyhnysteli verkalleen pirtistä porstuaan. Portaita myöten kohosi hän sitten porstuan yläsillalle,|8.33
ensimmaisetnovellit/ensimmaisetnovellit_0245.wav|jonne hänellä oli vakituinen makuusija laitettu, kun hän Sipolassa päivätöitään teki. Ja nahkaset korvilleen vedettyään|jonne hänellä oli vakituinen makuusija laitettu, kun hän Sipolassa päivätöitään teki. Ja nahkaset korvilleen vedettyään|9.33
ensimmaisetnovellit/ensimmaisetnovellit_0246.wav|vaipui vanhus pian uneen. Mutta kauan vielä ukon mentyä istui Aapo äänetönnä|vaipui vanhus pian uneen. Mutta kauan vielä ukon mentyä istui Aapo äänetönnä|7.88
ensimmaisetnovellit/ensimmaisetnovellit_0247.wav|katsellen ikkunasta tummaan ulkoilmaan--|katsellen ikkunasta tummaan ulkoilmaan--|3.41
ensimmaisetnovellit/ensimmaisetnovellit_0248.wav|eikä tuvassa kuulunut muuta kuin sirkan vapiseva sävel seinänraossa lähellä uunia.|eikä tuvassa kuulunut muuta kuin sirkan vapiseva sävel seinänraossa lähellä uunia.|8.58
ensimmaisetnovellit/ensimmaisetnovellit_0249.wav|Hiljaa oli kaikki, hiljaa tuvassa, hiljaa ulkona--ja näyttipä yksinäinen mies jo käyvän hiukan levottomaksi.|Hiljaa oli kaikki, hiljaa tuvassa, hiljaa ulkona--ja näyttipä yksinäinen mies jo käyvän hiukan levottomaksi.|8.28
ensimmaisetnovellit/ensimmaisetnovellit_0250.wav|Syvän huokauksen hän rinnassansa huokasi, kohosi seisoalleen, otti nuttunsa naulasta ja istuutui taas.|Syvän huokauksen hän rinnassansa huokasi, kohosi seisoalleen, otti nuttunsa naulasta ja istuutui taas.|9.31
ensimmaisetnovellit/ensimmaisetnovellit_0251.wav|Mietti sitten taas, tempasi viimein kenkänsä orrelta ja alkoi niitä jalkaansa vetää.|Mietti sitten taas, tempasi viimein kenkänsä orrelta ja alkoi niitä jalkaansa vetää.|7.98
ensimmaisetnovellit/ensimmaisetnovellit_0252.wav|Oikeaan jalkaansa jo kengän veti, vieläpä varrenkin alaspäin kiersi,|Oikeaan jalkaansa jo kengän veti, vieläpä varrenkin alaspäin kiersi,|5.95
ensimmaisetnovellit/ensimmaisetnovellit_0253.wav|mutta vasempi kenkä jäi jo puolitiehen jalkaan. Päivän koittoon olisi hän siinä ehkä saattanut istua,|mutta vasempi kenkä jäi jo puolitiehen jalkaan. Päivän koittoon olisi hän siinä ehkä saattanut istua,|8.11
ensimmaisetnovellit/ensimmaisetnovellit_0254.wav|ellei karsinapuolelta tupaa olisi alkanut kuulua hiljaista vikinää ja ripinää|ellei karsinapuolelta tupaa olisi alkanut kuulua hiljaista vikinää ja ripinää|6.09
ensimmaisetnovellit/ensimmaisetnovellit_0255.wav|ja kaksi hiirtä juosta piipertänyt yht'äkkiä hänen eteensä.|ja kaksi hiirtä juosta piipertänyt yht'äkkiä hänen eteensä.|6.03
ensimmaisetnovellit/ensimmaisetnovellit_0256.wav|Päivällä ei Aapo suinkaan olisi mokomia pahaisia säikähtänyt ja|Päivällä ei Aapo suinkaan olisi mokomia pahaisia säikähtänyt ja|4.97
ensimmaisetnovellit/ensimmaisetnovellit_0257.wav|olisi hän silloin antanut hiirten niinkuin muidenkin pienten elukkain elämäänsä rauhassa elää,|olisi hän silloin antanut hiirten niinkuin muidenkin pienten elukkain elämäänsä rauhassa elää,|6.72
ensimmaisetnovellit/ensimmaisetnovellit_0258.wav|mutta nyt häntä vähän vavahdutti niiden pimeässä kiiltävät silmät,|mutta nyt häntä vähän vavahdutti niiden pimeässä kiiltävät silmät,|4.77
ensimmaisetnovellit/ensimmaisetnovellit_0259.wav|ja niinpä hän ihan kuin tietämättään potkaisi vasemmalla jalallaan niin,|ja niinpä hän ihan kuin tietämättään potkaisi vasemmalla jalallaan niin,|5.24
ensimmaisetnovellit/ensimmaisetnovellit_0260.wav|että kenkä kolisten lennähti aina sopelle saakka ja hiiret sitä tietään pakenivat sinne, mistä tulleetkin olivat.|että kenkä kolisten lennähti aina sopelle saakka ja hiiret sitä tietään pakenivat sinne, mistä tulleetkin olivat.|8.27
ensimmaisetnovellit/ensimmaisetnovellit_0261.wav|Tuosta pikku pölähdyksestä tointui nyt Aapo, ja kenkänsä noudettuaan ovensuunurkasta|Tuosta pikku pölähdyksestä tointui nyt Aapo, ja kenkänsä noudettuaan ovensuunurkasta|6.76
ensimmaisetnovellit/ensimmaisetnovellit_0262.wav|veti hän sen kiireesti jalkaansa. Kaikista miehen tempuista näkyi,|veti hän sen kiireesti jalkaansa. Kaikista miehen tempuista näkyi,|5.79
ensimmaisetnovellit/ensimmaisetnovellit_0263.wav|että hänellä nyt mahtoi olla mielessä jotain tavallista arveluttavampaa ja entistään oudompaa, koskei hän mielinytkään maata mennä,|että hänellä nyt mahtoi olla mielessä jotain tavallista arveluttavampaa ja entistään oudompaa, koskei hän mielinytkään maata mennä,|9.99
ensimmaisetnovellit/ensimmaisetnovellit_0264.wav|vaikka oli sitä muille tyrkyttänyt. Muulloin uneliasta isäntää ei nyt näyttänytkään nukuttavan,|vaikka oli sitä muille tyrkyttänyt. Muulloin uneliasta isäntää ei nyt näyttänytkään nukuttavan,|8.45
ensimmaisetnovellit/ensimmaisetnovellit_0265.wav|mietityttihän vain kovasti. Lopulta hän nyt kuitenkin kiireesti veti harmaasarkaisen pyhätakin ylleen,|mietityttihän vain kovasti. Lopulta hän nyt kuitenkin kiireesti veti harmaasarkaisen pyhätakin ylleen,|7.18
ensimmaisetnovellit/ensimmaisetnovellit_0266.wav|pisti piipun kukkaroineen lasinpenkiltä taskuunsa ja hiipi hiljaa ulos porstuaan. Täälläkään hän ei kuullut hiiskaustakaan,|pisti piipun kukkaroineen lasinpenkiltä taskuunsa ja hiipi hiljaa ulos porstuaan. Täälläkään hän ei kuullut hiiskaustakaan,|9.67
ensimmaisetnovellit/ensimmaisetnovellit_0267.wav|ainoastaan yläsillalla kuorsasi Tuomas ukko. Porstuan lotisevia siltapalkkeja pitkin astui hän sitten varovasti ulkoilmaan.|ainoastaan yläsillalla kuorsasi Tuomas ukko. Porstuan lotisevia siltapalkkeja pitkin astui hän sitten varovasti ulkoilmaan.|9.73
ensimmaisetnovellit/ensimmaisetnovellit_0268.wav|Yön hiljaisuus oli käärinyt talon ja pihan ja kuhilaspellon hämäräiseen peittoonsa.|Yön hiljaisuus oli käärinyt talon ja pihan ja kuhilaspellon hämäräiseen peittoonsa.|6.45
ensimmaisetnovellit/ensimmaisetnovellit_0269.wav|Hiipielihän tuolla kuitenkin talon kissa kiiltävin silmin märässä heinikossa ja|Hiipielihän tuolla kuitenkin talon kissa kiiltävin silmin märässä heinikossa ja|5.87
ensimmaisetnovellit/ensimmaisetnovellit_0270.wav|silloin tällöin kalahtelivat maantien takana yösyötässä kulkevan lehmikarjan rautakellot.|silloin tällöin kalahtelivat maantien takana yösyötässä kulkevan lehmikarjan rautakellot.|6.93
ensimmaisetnovellit/ensimmaisetnovellit_0271.wav|Mutta muuta vaarallisempaa ei Aapon kuunteleva korva tavannut, kun hän varovasti hiipi aittojen ja tuvan välisestä solasta veräjälle.|Mutta muuta vaarallisempaa ei Aapon kuunteleva korva tavannut, kun hän varovasti hiipi aittojen ja tuvan välisestä solasta veräjälle.|9.54
ensimmaisetnovellit/ensimmaisetnovellit_0272.wav|Tässä seisahtui hän vielä kerran kuuntelemaan, tähysti tarkasti taakseen, mutta kun ei mitään kuullut eikä tietäkään liikkeessä nähnyt,|Tässä seisahtui hän vielä kerran kuuntelemaan, tähysti tarkasti taakseen, mutta kun ei mitään kuullut eikä tietäkään liikkeessä nähnyt,|9.32
ensimmaisetnovellit/ensimmaisetnovellit_0273.wav|pistäytyi hän sulkupuiden välitse maantielle. Puolen virstan paikoille kulettuaan juhlallisen tummassa yössä,|pistäytyi hän sulkupuiden välitse maantielle. Puolen virstan paikoille kulettuaan juhlallisen tummassa yössä,|9.87
ensimmaisetnovellit/ensimmaisetnovellit_0274.wav|jossa ainoastaan joku iltaruskon häikäisemä tähtönen siellä täällä himmeästi tuikki, tuli hän paikkaan,|jossa ainoastaan joku iltaruskon häikäisemä tähtönen siellä täällä himmeästi tuikki, tuli hän paikkaan,|7.45
ensimmaisetnovellit/ensimmaisetnovellit_0275.wav|jossa maantie tekee äkkipolvekkeen ja jyrkkänä sadeveden uurtelemana törmänä kohoaa kulkijan eteen.|jossa maantie tekee äkkipolvekkeen ja jyrkkänä sadeveden uurtelemana törmänä kohoaa kulkijan eteen.|8.37
ensimmaisetnovellit/ensimmaisetnovellit_0276.wav|Tämän mäen alle ehdittyään, seisahtui hän yht'äkkiä ja säpsähti. Mäen päältä alkoi kuulua kummallinen töminä.|Tämän mäen alle ehdittyään, seisahtui hän yht'äkkiä ja säpsähti. Mäen päältä alkoi kuulua kummallinen töminä.|8.83
ensimmaisetnovellit/ensimmaisetnovellit_0277.wav|Ensimmältä se kuului hiljempää, ikäänkuin kaukana kulkeva ukonilma, mutta läheni lähenemistään yhä kasvavalla vauhdilla ja kuminaila--|Ensimmältä se kuului hiljempää, ikäänkuin kaukana kulkeva ukonilma, mutta läheni lähenemistään yhä kasvavalla vauhdilla ja kuminaila--|9.73
ensimmaisetnovellit/ensimmaisetnovellit_0278.wav|ja ennenkuin Aapon hitaat tuumat ennättivät päästä selville siitä, mitä tuo mahtoi olla,|ja ennenkuin Aapon hitaat tuumat ennättivät päästä selville siitä, mitä tuo mahtoi olla,|6.44
ensimmaisetnovellit/ensimmaisetnovellit_0279.wav|töytäsi mäen päältä kiviin tulta iskevin kavioin korskuva hevoslauma.|töytäsi mäen päältä kiviin tulta iskevin kavioin korskuva hevoslauma.|5.49
ensimmaisetnovellit/ensimmaisetnovellit_0280.wav|Ellei Aapo olisi nopeasti hypännyt ojaan, josta lika hänen ympärilleen roiskahti, olisi hänestä siinä paikassa tullut multaisen maantien miehiä.|Ellei Aapo olisi nopeasti hypännyt ojaan, josta lika hänen ympärilleen roiskahti, olisi hänestä siinä paikassa tullut multaisen maantien miehiä.|9.83
ensimmaisetnovellit/ensimmaisetnovellit_0281.wav|Mutta kun hän noin kiireesti sivulle siirtyi, niin pelästyivät vauhkot hevosetkin hänen valkeita housujaan, kaarsivat nekin vähän syrjään ja|Mutta kun hän noin kiireesti sivulle siirtyi, niin pelästyivät vauhkot hevosetkin hänen valkeita housujaan, kaarsivat nekin vähän syrjään ja|9.01
ensimmaisetnovellit/ensimmaisetnovellit_0282.wav|kiitivät sitten maha matalana näkymättömiin. Noustuaan tielle ja toinnuttuaan hiukan,|kiitivät sitten maha matalana näkymättömiin. Noustuaan tielle ja toinnuttuaan hiukan,|7.88
ensimmaisetnovellit/ensimmaisetnovellit_0283.wav|tempasi Aapo ison kiven kouraansa ja karjaisten kiukkuisella äänellä: »ääh!», johon hiljaiset metsät vastasivat: »|tempasi Aapo ison kiven kouraansa ja karjaisten kiukkuisella äänellä: ääh! , johon hiljaiset metsät vastasivat:|9.17
ensimmaisetnovellit/ensimmaisetnovellit_0284.wav|ääh!», lähetti hän sen vonkuen menemään jo kaukana kumisevan hevoslauman jälkeen. --|ääh! , lähetti hän sen vonkuen menemään jo kaukana kumisevan hevoslauman jälkeen. --|7.18
ensimmaisetnovellit/ensimmaisetnovellit_0285.wav|Likasin puhtaat housuni tuossa mokoman likarapakossa, mutisi Aapo kämpiessään törmää ylös ja|Likasin puhtaat housuni tuossa mokoman likarapakossa, mutisi Aapo kämpiessään törmää ylös ja|7.01
ensimmaisetnovellit/ensimmaisetnovellit_0286.wav|puhdistellessaan savettuneita vaatteitaan.-- Perkeleen kylänkonit! oli hän vähällä sanoa, mutta ei kuitenkaan sanonut, sillä|puhdistellessaan savettuneita vaatteitaan.-- Perkeleen kylänkonit! oli hän vähällä sanoa, mutta ei kuitenkaan sanonut, sillä|9.17
ensimmaisetnovellit/ensimmaisetnovellit_0287.wav|kiroaminen on jumalansanassa kielletty. Äkämielin hän ensimmältä asteli,|kiroaminen on jumalansanassa kielletty. Äkämielin hän ensimmältä asteli,|6.71
ensimmaisetnovellit/ensimmaisetnovellit_0288.wav|että kengät lotisivat ja sora kantapäissä kohosi. Pian talttui hän kuitenkin ennalleen, kun kääntyi valtatieltä syrjäpolulle,|että kengät lotisivat ja sora kantapäissä kohosi. Pian talttui hän kuitenkin ennalleen, kun kääntyi valtatieltä syrjäpolulle,|9.44
ensimmaisetnovellit/ensimmaisetnovellit_0289.wav|joka vei Tuomaalaan.--Sillä Tuomaan tyttären luo oli nyt Aapo matkalla, oli Annun luo menossa asiastaan puhumaan.|joka vei Tuomaalaan.--Sillä Tuomaan tyttären luo oli nyt Aapo matkalla, oli Annun luo menossa asiastaan puhumaan.|9.18
ensimmaisetnovellit/ensimmaisetnovellit_0290.wav|Yöjalkaretkellä oli nyt se Sipolan isäntä, joka aina ennen oli muita siitä kovasti kieltänyt.|Yöjalkaretkellä oli nyt se Sipolan isäntä, joka aina ennen oli muita siitä kovasti kieltänyt.|6.78
ensimmaisetnovellit/ensimmaisetnovellit_0291.wav|Syrjäistä metsäpolkua hän öiseen aikaan asteli; kulki kaitaista kinttutietä,|Syrjäistä metsäpolkua hän öiseen aikaan asteli; kulki kaitaista kinttutietä,|5.76
ensimmaisetnovellit/ensimmaisetnovellit_0292.wav|joka alamäen rinteestä metsien poikki luikerteli tuuhean viidakkolehdon halki, jonne ruskokaan ei kuontunut valaisemaan.|joka alamäen rinteestä metsien poikki luikerteli tuuhean viidakkolehdon halki, jonne ruskokaan ei kuontunut valaisemaan.|9.63
ensimmaisetnovellit/ensimmaisetnovellit_0293.wav|Arkana asteli mies, ja kokoon oli kuristunut sydän hänen rinnassaan, sillä oudolta tuntui tämä salainen kulku,|Arkana asteli mies, ja kokoon oli kuristunut sydän hänen rinnassaan, sillä oudolta tuntui tämä salainen kulku,|8.47
ensimmaisetnovellit/ensimmaisetnovellit_0294.wav|ja usein kompastui jalka pimeässä milloin kiveen, milloin kantoon.|ja usein kompastui jalka pimeässä milloin kiveen, milloin kantoon.|5.46
ensimmaisetnovellit/ensimmaisetnovellit_0295.wav|Viettelipä mielensä silloin häntä takaisin kääntymään ja jättämään sillensä koko tuuman, mutta|Viettelipä mielensä silloin häntä takaisin kääntymään ja jättämään sillensä koko tuuman, mutta|5.96
ensimmaisetnovellit/ensimmaisetnovellit_0296.wav|tukehdutti hän kuitenkin tämän halunsa ja kulki eteenpäin.|tukehdutti hän kuitenkin tämän halunsa ja kulki eteenpäin.|8.06
ensimmaisetnovellit/ensimmaisetnovellit_0297.wav|II. Tuomaalan mökki on sievoinen mökki,|II. Tuomaalan mökki on sievoinen mökki,|6.33
ensimmaisetnovellit/ensimmaisetnovellit_0298.wav|rakennettuna pienoisen luhtarantaisen lampipyörylän rannalle.|rakennettuna pienoisen luhtarantaisen lampipyörylän rannalle.|5.31
ensimmaisetnovellit/ensimmaisetnovellit_0299.wav|Häämöttää siinä nyt hämärän sisästä vähäinen vasta tehty tervanurkkainen pirttirakennus, sen kanssa nurkakkain ovat pihanpäähuoneet,|Häämöttää siinä nyt hämärän sisästä vähäinen vasta tehty tervanurkkainen pirttirakennus, sen kanssa nurkakkain ovat pihanpäähuoneet,|9.82
ensimmaisetnovellit/ensimmaisetnovellit_0300.wav|ja taampana seisoo aittapari, joista toinen on vaatehuone, toinen eloaitta. Hiljaistahan täällä on,|ja taampana seisoo aittapari, joista toinen on vaatehuone, toinen eloaitta. Hiljaistahan täällä on,|9.42
ensimmaisetnovellit/ensimmaisetnovellit_0301.wav|hiljaista ja äänetöntä elokuun yön viileässä helmassa. Narahtaa kuitenkin tuolloin tällöin tuolta lammelta poikiaan kuletteleva sorsa,|hiljaista ja äänetöntä elokuun yön viileässä helmassa. Narahtaa kuitenkin tuolloin tällöin tuolta lammelta poikiaan kuletteleva sorsa,|9.75
ensimmaisetnovellit/ensimmaisetnovellit_0302.wav|ja väliin kalahtaa kujasta pikkuhärän kaulassa rautainen kello, kun lähelle työntäytynyt lehmävasikka siihen hännällänsä huiskauttaa.|ja väliin kalahtaa kujasta pikkuhärän kaulassa rautainen kello, kun lähelle työntäytynyt lehmävasikka siihen hännällänsä huiskauttaa.|9.74
ensimmaisetnovellit/ensimmaisetnovellit_0303.wav|Mutta eipä sitten kaukaan aikaan taas kuulu ei sorsan narahdusta eikä kellon kalahdusta.|Mutta eipä sitten kaukaan aikaan taas kuulu ei sorsan narahdusta eikä kellon kalahdusta.|7.35
ensimmaisetnovellit/ensimmaisetnovellit_0304.wav|Yht'äkkiä tuosta kuitenkin mörähtää yhteen ääneen koko pikkukarja, kello kalisee, ja|Yht'äkkiä tuosta kuitenkin mörähtää yhteen ääneen koko pikkukarja, kello kalisee, ja|7.42
ensimmaisetnovellit/ensimmaisetnovellit_0305.wav|tutusti ynisten rientävät vasikat porstuan ovesta tulevaa naista vastaan. Ystävällisesti tämä heille huhuaa,|tutusti ynisten rientävät vasikat porstuan ovesta tulevaa naista vastaan. Ystävällisesti tämä heille huhuaa,|8.87
ensimmaisetnovellit/ensimmaisetnovellit_0306.wav|lähestyy sanko kädessä ja panee sen piha-aidan toiselle puolelle. Kilvan vasikat astiansa tyhjentävät,|lähestyy sanko kädessä ja panee sen piha-aidan toiselle puolelle. Kilvan vasikat astiansa tyhjentävät,|8.22
ensimmaisetnovellit/ensimmaisetnovellit_0307.wav|keikauttavat sen sitten kumolleen ja vieläpä pohjankin puhtaaksi nuoleksivat. Mutta pian poistuu solakkavartaloinen tyttö,|keikauttavat sen sitten kumolleen ja vieläpä pohjankin puhtaaksi nuoleksivat. Mutta pian poistuu solakkavartaloinen tyttö,|9.51
ensimmaisetnovellit/ensimmaisetnovellit_0308.wav|astuu helkytellen solasta aitallensa ja sinne katoaa. Hetken hän siellä vaateortensa ääressä viipyy,|astuu helkytellen solasta aitallensa ja sinne katoaa. Hetken hän siellä vaateortensa ääressä viipyy,|7.51
ensimmaisetnovellit/ensimmaisetnovellit_0309.wav|pukee yllensä puhtaan hameen ja punareunuksisilla hihansuilla koristetun ostopalttinasta ompelemansa pyhäpaidan.|pukee yllensä puhtaan hameen ja punareunuksisilla hihansuilla koristetun ostopalttinasta ompelemansa pyhäpaidan.|9.5
ensimmaisetnovellit/ensimmaisetnovellit_0310.wav|Kaulaansa kiertää hän Kallelta saamansa pihkahelmet ja sormeensa sovittaa kultasormuksen,|Kaulaansa kiertää hän Kallelta saamansa pihkahelmet ja sormeensa sovittaa kultasormuksen,|7.61
ensimmaisetnovellit/ensimmaisetnovellit_0311.wav|sillä hän on Kallen salainen kihlattu, on ollut jo helluntaipyhistä saakka. Istuu sitten aitan kynnykselle, leuka käteen nojaten,|sillä hän on Kallen salainen kihlattu, on ollut jo helluntaipyhistä saakka. Istuu sitten aitan kynnykselle, leuka käteen nojaten,|9.77
ensimmaisetnovellit/ensimmaisetnovellit_0312.wav|ja katselee, katselee metsän laitaan kesantopellon poikki, ja sitten ahotietä pitkin.|ja katselee, katselee metsän laitaan kesantopellon poikki, ja sitten ahotietä pitkin.|8.0
ensimmaisetnovellit/ensimmaisetnovellit_0313.wav|Mutta sitä, jota hän odottaa, ei vielä näy--ei näy muuta kuin mustaa, pimeätä metsää|Mutta sitä, jota hän odottaa, ei vielä näy--ei näy muuta kuin mustaa, pimeätä metsää|8.45
ensimmaisetnovellit/ensimmaisetnovellit_0314.wav|ja ylempänä himmeästi rusottelevaa iltataivasta.|ja ylempänä himmeästi rusottelevaa iltataivasta.|4.82
ensimmaisetnovellit/ensimmaisetnovellit_0315.wav|Rapsahtaapa tuosta yht'äkkiä sitten kuitenkin hänen takanansa aita. Mutta se onkin vain Vahti,|Rapsahtaapa tuosta yht'äkkiä sitten kuitenkin hänen takanansa aita. Mutta se onkin vain Vahti,|7.17
ensimmaisetnovellit/ensimmaisetnovellit_0316.wav|joka nyt päivällisiltä juoksuiltaan kotiutuu. Hiljaa vikisten ja tuuheata häntäänsä tuttavallisesti heilutellen|joka nyt päivällisiltä juoksuiltaan kotiutuu. Hiljaa vikisten ja tuuheata häntäänsä tuttavallisesti heilutellen|8.99
ensimmaisetnovellit/ensimmaisetnovellit_0317.wav|se tytön luo juoksee ja laskee päänsä hänen polvilleen. --Vahtimiestä, voipa sitä Vahtimiestä--|se tytön luo juoksee ja laskee päänsä hänen polvilleen. --Vahtimiestä, voipa sitä Vahtimiestä--|8.35
ensimmaisetnovellit/ensimmaisetnovellit_0318.wav|mistäs nyt tulet ja mikset miesten matkassa kule?--Mutta nyt kohoavat koiran korvat pystyyn, pää luikahtaa tytön käsien alta, ja|mistäs nyt tulet ja mikset miesten matkassa kule?--Mutta nyt kohoavat koiran korvat pystyyn, pää luikahtaa tytön käsien alta, ja|9.52
ensimmaisetnovellit/ensimmaisetnovellit_0319.wav|muristen alkaa se juosta metsäpolulle päin. Sitten ärähtää se äkkiä äkäiseen haukuntaan,|muristen alkaa se juosta metsäpolulle päin. Sitten ärähtää se äkkiä äkäiseen haukuntaan,|7.67
ensimmaisetnovellit/ensimmaisetnovellit_0320.wav|mutta vaikenee vähän ajan päästä ja tuntuu vikisevän, niinkuin koira tutulle miehelle vikisee.|mutta vaikenee vähän ajan päästä ja tuntuu vikisevän, niinkuin koira tutulle miehelle vikisee.|8.22
ensimmaisetnovellit/ensimmaisetnovellit_0321.wav|Vaan poispäin kääntää tyttö päänsä, nojaa poskensa vasten vasempaa kättänsä ja katselee kohden hämärää iltatähteä,|Vaan poispäin kääntää tyttö päänsä, nojaa poskensa vasten vasempaa kättänsä ja katselee kohden hämärää iltatähteä,|9.51
ensimmaisetnovellit/ensimmaisetnovellit_0322.wav|joka tuvanharjan takaa jo alkaa pilkutella. Ei hän ole mitään näkevinään eikä kuulevinaankaan,|joka tuvanharjan takaa jo alkaa pilkutella. Ei hän ole mitään näkevinään eikä kuulevinaankaan,|7.77
